mass,energy,peak,ds
1.64e+30,5.500000000000001e+43,0.18254136529669496,11.950000000000003
1.64e+30,6.000000000000001e+43,0.18679374364488158,11.750000000000004
1.64e+30,6.500000000000002e+43,0.19075667093249762,11.650000000000004
1.64e+30,7.000000000000002e+43,0.19446731096339084,11.550000000000002
1.64e+30,7.500000000000003e+43,0.19795544131277334,11.350000000000001
1.64e+30,8.000000000000003e+43,0.20125441530947874,11.350000000000003
1.64e+30,8.500000000000004e+43,0.2043775584013355,11.150000000000002
1.64e+30,9.000000000000004e+43,0.20734387927357556,11.150000000000002
1.64e+30,9.500000000000004e+43,0.21017614194582834,11.050000000000002
1.66e+30,1e+43,0.10988310733175816,16.149999999999995
1.66e+30,1.5e+43,0.1246522859968244,14.95
1.66e+30,2.0000000000000003e+43,0.13592567907821929,14.150000000000002
1.66e+30,2.5e+43,0.14512639981526798,13.649999999999999
1.66e+30,3e+43,0.15293724822229568,13.349999999999998
1.66e+30,3.5e+43,0.1597457992471865,12.950000000000003
1.66e+30,4e+43,0.1657968763953728,12.650000000000002
1.66e+30,4.5e+43,0.171247439907799,12.450000000000003
1.66e+30,5e+43,0.17621522718721955,12.250000000000004
1.66e+30,5.500000000000001e+43,0.18077973172871883,12.050000000000002
1.66e+30,6.000000000000001e+43,0.18500805786520444,11.850000000000003
1.66e+30,6.500000000000002e+43,0.18894974981774118,11.750000000000002
1.66e+30,7.000000000000002e+43,0.19264177808370603,11.650000000000002
1.66e+30,7.500000000000003e+43,0.1961118724099856,11.55
1.66e+30,8.000000000000003e+43,0.19939344053428712,11.350000000000003
1.66e+30,8.500000000000004e+43,0.2024987504272883,11.250000000000002
1.66e+30,9.000000000000004e+43,0.2054546304064349,11.250000000000002
1.66e+30,9.500000000000004e+43,0.20827186643645854,11.150000000000002
1.68e+30,1e+43,0.10863721791096138,16.249999999999996
1.68e+30,1.5e+43,0.12329086995673964,15.05
1.68e+30,2.0000000000000003e+43,0.1344812922672697,14.25
1.68e+30,2.5e+43,0.14361808810864393,13.75
1.68e+30,3e+43,0.15137741985371075,13.350000000000001
1.68e+30,3.5e+43,0.15814269658919414,13.05
1.68e+30,4e+43,0.16415570091096035,12.750000000000002
1.68e+30,4.5e+43,0.16957389037189877,12.550000000000002
1.68e+30,5e+43,0.174511030233991,12.250000000000002
1.68e+30,5.500000000000001e+43,0.1790506931103848,12.150000000000004
1.68e+30,6.000000000000001e+43,0.1832562345488287,11.950000000000001
1.68e+30,6.500000000000002e+43,0.18717347363822825,11.850000000000003
1.68e+30,7.000000000000002e+43,0.1908468667925195,11.650000000000004
1.68e+30,7.500000000000003e+43,0.19430088315478738,11.550000000000002
1.68e+30,8.000000000000003e+43,0.19756314266914674,11.450000000000003
1.68e+30,8.500000000000004e+43,0.20065431295705244,11.350000000000003
1.68e+30,9.000000000000004e+43,0.20359602740895225,11.250000000000004
1.68e+30,9.500000000000004e+43,0.20639823397714413,11.150000000000004
1.7e+30,1e+43,0.10741607314368615,16.35
1.7e+30,1.5e+43,0.12195568722615323,15.150000000000002
